-DOCSTART- -X- O
ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
JERINGA -X- _ I-FORMA_FARMA
PRELLENADA -X- _ I-FORMA_FARMA
0,2 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
SOLUCIÓN -X- _ I-ADMIN
INYECTABLE -X- _ I-ADMIN
EN -X- _ I-ADMIN
JERINGA -X- _ I-ADMIN
PRECARGADA -X- _ I-ADMIN
HEMODIÁLISIS -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
durante -X- _ B-DURATION
15 -X- _ I-DURATION
dias -X- _ I-DURATION

CLOZAPINA -X- _ B-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
175 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
0 -X- _ O
- -X- _ O
0 -X- _ O
- -X- _ O
150 -X- _ O
mg -X- _ O
(Viernes), -X- _ O
0 -X- _ O
- -X- _ O
0 -X- _ O
- -X- _ O
175 -X- _ O
mg -X- _ O
(Sábado -X- _ O
y -X- _ O
Domingo) -X- _ O

KETOPROFENO -X- _ B-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
POLVO -X- _ I-FORMA_FARMA
LIOFILIZADO -X- _ I-FORMA_FARMA
PARA -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
75 -X- _ B-ADMIN
FRASCO -X- _ I-ADMIN
AMPOLLA -X- _ I-ADMIN
PARENTERAL -X- _ I-ADMIN
tres -X- _ B-PERIODICITY
veces -X- _ I-PERIODICITY
al -X- _ I-PERIODICITY
día -X- _ I-PERIODICITY

PARACETAMOL -X- _ B-ACTIVE_PRINCIPLE
120 -X- _ B-FORMA_FARMA
MG/5ML -X- _ I-FORMA_FARMA
JARABE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
60 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
120 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
6 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
1 -X- _ I-DURATION
dias -X- _ I-DURATION

SODIO -X- _ B-ACTIVE_PRINCIPLE
CLORURO -X- _ I-ACTIVE_PRINCIPLE
0,9 -X- _ B-FORMA_FARMA
% -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
MATRAZ -X- _ I-FORMA_FARMA
500 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
EN -X- _ I-ADMIN
BOLO -X- _ I-ADMIN
dosis -X- _ O
simple -X- _ O

CLORPROMAZINA -X- _ B-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
3,5 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
al -X- _ B-PERIODICITY
acostarse -X- _ I-PERIODICITY
durante -X- _ B-DURATION
2 -X- _ I-DURATION
meses -X- _ I-DURATION
0-0-3 -X- _ O
+ -X- _ O
1/2 -X- _ O
SOS -X- _ O

NIFEDIPINO -X- _ B-ACTIVE_PRINCIPLE
20 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
LIBERACIÓN -X- _ I-FORMA_FARMA
PROLONGADA -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
GRAGEA -X- _ I-ADMIN
OTRA -X- _ I-ADMIN
VÍA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
12 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

RISPERIDONA -X- _ B-ACTIVE_PRINCIPLE
1 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
1 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
RECUBIERTO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
tres -X- _ B-PERIODICITY
veces -X- _ I-PERIODICITY
al -X- _ I-PERIODICITY
día -X- _ I-PERIODICITY

GLUCOSA -X- _ B-ACTIVE_PRINCIPLE
10 -X- _ B-FORMA_FARMA
% -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
UNIDAD -X- _ I-FORMA_FARMA
500 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAMUSCULAR -X- _ I-ADMIN
dosis -X- _ O
simple -X- _ O

CELECOXIB -X- _ B-ACTIVE_PRINCIPLE
200 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
CÁPSULA -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
CÁPSULA -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
21 -X- _ I-DURATION
dias -X- _ I-DURATION

RISPERIDONA -X- _ B-ACTIVE_PRINCIPLE
1 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
1 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
tres -X- _ B-PERIODICITY
veces -X- _ I-PERIODICITY
al -X- _ I-PERIODICITY
día -X- _ I-PERIODICITY

ATENOLOL -X- _ B-ACTIVE_PRINCIPLE
50 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
25 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
21 -X- _ I-DURATION
dias -X- _ I-DURATION

DILTIAZEM -X- _ B-ACTIVE_PRINCIPLE
60 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
60 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cuatro -X- _ B-PERIODICITY
veces -X- _ I-PERIODICITY
al -X- _ I-PERIODICITY
día -X- _ I-PERIODICITY

LACTULOSA -X- _ B-ACTIVE_PRINCIPLE
65% -X- _ B-FORMA_FARMA
JARABE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
200 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
75 -X- _ B-ADMIN
ML -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
25ml-25-25ml -X- _ O

OLANZAPINA -X- _ B-ACTIVE_PRINCIPLE
5 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
dosis -X- _ O
simple -X- _ O

ARIPIPRAZOL -X- _ B-ACTIVE_PRINCIPLE
10 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
15 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
5mg-0-10mg -X- _ O

DOBUTAMINA -X- _ B-ACTIVE_PRINCIPLE
250 -X- _ B-FORMA_FARMA
MG/5 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
5 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
2 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

VANCOMICINA -X- _ B-ACTIVE_PRINCIPLE
1 -X- _ B-FORMA_FARMA
G -X- _ I-FORMA_FARMA
POLVO -X- _ I-FORMA_FARMA
LIOFILIZADO -X- _ I-FORMA_FARMA
PARA -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
1500 -X- _ B-ADMIN
MG -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

LEVOTIROXINA -X- _ B-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
MCG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
250 -X- _ B-ADMIN
¿G -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY

IBUPROFENO -X- _ B-ACTIVE_PRINCIPLE
400 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
CÁPSULA -X- _ I-FORMA_FARMA
500 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
4 -X- _ I-DURATION
dias -X- _ I-DURATION

PREDNISONA -X- _ B-ACTIVE_PRINCIPLE
20 -X- _ B-FORMA_FARMA
MG/5ML -X- _ I-FORMA_FARMA
SUSPENSIÓN -X- _ I-FORMA_FARMA
ORAL -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
60 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
10 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY
durante -X- _ B-DURATION
5 -X- _ I-DURATION
dias -X- _ I-DURATION

POTASIO -X- _ B-ACTIVE_PRINCIPLE
CLORURO -X- _ I-ACTIVE_PRINCIPLE
600 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
LIBERACIÓN -X- _ I-FORMA_FARMA
PROLONGADA -X- _ I-FORMA_FARMA
600 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
tres -X- _ B-PERIODICITY
veces -X- _ I-PERIODICITY
al -X- _ I-PERIODICITY
día -X- _ I-PERIODICITY
durante -X- _ B-DURATION
15 -X- _ I-DURATION
dias -X- _ I-DURATION

FLUNARIZINA -X- _ B-ACTIVE_PRINCIPLE
10 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
0,5 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
dos -X- _ B-PERIODICITY
veces -X- _ I-PERIODICITY
al -X- _ I-PERIODICITY
día -X- _ I-PERIODICITY

ÁCIDO -X- _ B-ACTIVE_PRINCIPLE
VALPROICO -X- _ I-ACTIVE_PRINCIPLE
375 -X- _ B-FORMA_FARMA
MG/ML -X- _ I-FORMA_FARMA
(10 -X- _ I-FORMA_FARMA
mg/gota) -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
PARA -X- _ I-FORMA_FARMA
GOTAS -X- _ I-FORMA_FARMA
ORALES -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
25 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
220 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

CLORFENAMINA -X- _ B-ACTIVE_PRINCIPLE
MALEATO -X- _ I-ACTIVE_PRINCIPLE
10 -X- _ B-FORMA_FARMA
MG/ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
1 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
3 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY

ATENOLOL -X- _ B-ACTIVE_PRINCIPLE
50 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
diaria -X- _ B-PERIODICITY

CEFOTAXIMA -X- _ B-ACTIVE_PRINCIPLE
(sódica) -X- _ I-ACTIVE_PRINCIPLE
1 -X- _ B-FORMA_FARMA
g -X- _ I-FORMA_FARMA
polvo -X- _ I-FORMA_FARMA
para -X- _ I-FORMA_FARMA
solución -X- _ I-FORMA_FARMA
inyectable -X- _ I-FORMA_FARMA
1000 -X- _ B-ADMIN
MG -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
4 -X- _ I-DURATION
dias -X- _ I-DURATION

INSULINA -X- _ B-ACTIVE_PRINCIPLE
CRISTALINA -X- _ I-ACTIVE_PRINCIPLE
HUMANA -X- _ I-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
U.I./ML -X- _ I-FORMA_FARMA
SOLUCION -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
10 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
2 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
SUBCUTÁNEA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
3 -X- _ I-DURATION
meses -X- _ I-DURATION

SODIO -X- _ B-ACTIVE_PRINCIPLE
CLORURO -X- _ I-ACTIVE_PRINCIPLE
0,9 -X- _ B-FORMA_FARMA
% -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
UNIDAD -X- _ I-FORMA_FARMA
250 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
PARENTERAL -X- _ I-ADMIN
dosis -X- _ O
simple -X- _ O

LÁGRIMAS -X- _ B-ACTIVE_PRINCIPLE
ARTIFICIALES -X- _ I-ACTIVE_PRINCIPLE
SOLUCIÓN -X- _ B-FORMA_FARMA
OFTÁLMICA -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
20 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
1 -X- _ B-ADMIN
FRASCO -X- _ I-ADMIN
OFTÁLMICA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

IBUPROFENO -X- _ B-ACTIVE_PRINCIPLE
200 -X- _ B-FORMA_FARMA
MG/5 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
SUPENSIÓN -X- _ I-FORMA_FARMA
ORAL -X- _ I-FORMA_FARMA
300 -X- _ B-ADMIN
MG -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cuatro -X- _ B-PERIODICITY
veces -X- _ I-PERIODICITY
al -X- _ I-PERIODICITY
día -X- _ I-PERIODICITY

AMPICILINA -X- _ B-ACTIVE_PRINCIPLE
500 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
POLVO -X- _ I-FORMA_FARMA
LIOFILIZADO -X- _ I-FORMA_FARMA
PARA -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
160 -X- _ B-ADMIN
MG -X- _ I-ADMIN
PARENTERAL -X- _ I-ADMIN
dos -X- _ B-PERIODICITY
veces -X- _ I-PERIODICITY
al -X- _ I-PERIODICITY
día -X- _ I-PERIODICITY

METAMIZOL -X- _ B-ACTIVE_PRINCIPLE
SÓDICO -X- _ I-ACTIVE_PRINCIPLE
1 -X- _ B-FORMA_FARMA
G/2 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
2 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
2 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAMUSCULAR -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
en -X- _ O
BIC -X- _ O
con -X- _ O
SF -X- _ O
0.9% -X- _ O
a -X- _ O
10cc/hr -X- _ O
+ -X- _ O
200mg -X- _ O
ketoprofeno -X- _ B-ACTIVE_PRINCIPLE

FENOTEROL -X- _ B-ACTIVE_PRINCIPLE
BROMHIDRATO -X- _ I-ACTIVE_PRINCIPLE
50 -X- _ I-ACTIVE_PRINCIPLE
µg/dosis+IPATROPIO -X- _ I-ACTIVE_PRINCIPLE
BROMURO -X- _ I-ACTIVE_PRINCIPLE
20 -X- _ I-ACTIVE_PRINCIPLE
µg/dosis -X- _ I-ACTIVE_PRINCIPLE
solución -X- _ B-FORMA_FARMA
para -X- _ I-FORMA_FARMA
inhalación -X- _ I-FORMA_FARMA
en -X- _ I-FORMA_FARMA
envase -X- _ I-FORMA_FARMA
a -X- _ I-FORMA_FARMA
presión -X- _ I-FORMA_FARMA
2 -X- _ B-ADMIN
INHALACIÓN -X- _ I-ADMIN
INHALATORIA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
durante -X- _ B-DURATION
12 -X- _ I-DURATION
dias -X- _ I-DURATION

INSULINA -X- _ B-ACTIVE_PRINCIPLE
CRISTALINA -X- _ I-ACTIVE_PRINCIPLE
HUMANA -X- _ I-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
U.I./ML -X- _ I-FORMA_FARMA
SOLUCION -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
10 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
2 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
SUBCUTÁNEA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
12 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY
CORRECCIONAL: -X- _ O
Si -X- _ O
HGT -X- _ O
> -X- _ O
160 -X- _ O
= -X- _ O
0 -X- _ O
U, -X- _ O
161 -X- _ O
- -X- _ O
200 -X- _ O
= -X- _ O
2U, -X- _ O
201 -X- _ O
- -X- _ O
240 -X- _ O
= -X- _ O
4U, -X- _ O
241 -X- _ O
- -X- _ O
280 -X- _ O
= -X- _ O
6U, -X- _ O
280 -X- _ O
- -X- _ O
320 -X- _ O
= -X- _ O
8U, -X- _ O
>3 -X- _ O

INSULINA -X- _ B-ACTIVE_PRINCIPLE
RETARDADA -X- _ I-ACTIVE_PRINCIPLE
HUMANA -X- _ I-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
U.I./ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
FRASCO -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
10 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
36 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
SUBCUTÁNEA -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
24 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

CALCIO -X- _ B-ACTIVE_PRINCIPLE
CLORURO -X- _ I-ACTIVE_PRINCIPLE
10 -X- _ B-FORMA_FARMA
% -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
10 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
UNIDAD -X- _ I-ADMIN
INTRAVENOSA -X- _ I-ADMIN
tres -X- _ B-PERIODICITY
veces -X- _ I-PERIODICITY
al -X- _ I-PERIODICITY
día -X- _ I-PERIODICITY

HALOPERIDOL -X- _ B-ACTIVE_PRINCIPLE
5 -X- _ B-FORMA_FARMA
MG -X- _ I-FORMA_FARMA
COMPRIMIDO -X- _ I-FORMA_FARMA
Suministro -X- _ O
inmediato -X- _ O
primera -X- _ O
vez. -X- _ O
0,5 -X- _ B-ADMIN
COMPRIMIDO -X- _ I-ADMIN
ORAL -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
8 -X- _ I-PERIODICITY
horas -X- _ I-PERIODICITY

SALBUTAMOL -X- _ B-ACTIVE_PRINCIPLE
100 -X- _ B-FORMA_FARMA
MCG/DOSIS -X- _ I-FORMA_FARMA
INHALADOR -X- _ I-FORMA_FARMA
200 -X- _ I-FORMA_FARMA
DOSIS -X- _ I-FORMA_FARMA
2 -X- _ B-ADMIN
SUSPENSIÓN -X- _ I-ADMIN
PARA -X- _ I-ADMIN
INHALACIÓN -X- _ I-ADMIN
EN -X- _ I-ADMIN
ENVASE -X- _ I-ADMIN
A -X- _ I-ADMIN
PRESIÓN -X- _ I-ADMIN
INHALATORIA -X- _ I-ADMIN
cuatro -X- _ B-PERIODICITY
veces -X- _ I-PERIODICITY
al -X- _ I-PERIODICITY
día -X- _ I-PERIODICITY

FENTANILO -X- _ B-ACTIVE_PRINCIPLE
0,1 -X- _ B-FORMA_FARMA
MG/2 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
SOLUCIÓN -X- _ I-FORMA_FARMA
INYECTABLE -X- _ I-FORMA_FARMA
AMPOLLA -X- _ I-FORMA_FARMA
2 -X- _ I-FORMA_FARMA
ML -X- _ I-FORMA_FARMA
1 -X- _ B-ADMIN
ML -X- _ I-ADMIN
INTRAMUSCULAR -X- _ I-ADMIN
cada -X- _ B-PERIODICITY
